# #Teff log(g)
5.241100000000000364e+03 5.241100000000000364e+03
5.321000000000000000e+03 5.321000000000000000e+03
4.549399999999999636e+03 4.549399999999999636e+03
4.520600000000000364e+03 4.520600000000000364e+03
4.351899999999999636e+03 4.351899999999999636e+03
5.412399999999999636e+03 5.412399999999999636e+03
5.933300000000000182e+03 5.933300000000000182e+03
4.111399999999999636e+03 4.111399999999999636e+03
3.405900000000000091e+03 3.405900000000000091e+03
3.948599999999999909e+03 3.948599999999999909e+03
3.657599999999999909e+03 3.657599999999999909e+03
3.482699999999999818e+03 3.482699999999999818e+03
5.729199999999999818e+03 5.729199999999999818e+03
3.326900000000000091e+03 3.326900000000000091e+03
3.772000000000000000e+03 3.772000000000000000e+03
5.165000000000000000e+03 5.165000000000000000e+03
3.801099999999999909e+03 3.801099999999999909e+03
5.357500000000000000e+03 5.357500000000000000e+03
3.373699999999999818e+03 3.373699999999999818e+03
3.292699999999999818e+03 3.292699999999999818e+03
4.587600000000000364e+03 4.587600000000000364e+03
5.743600000000000364e+03 5.743600000000000364e+03
3.151400000000000091e+03 3.151400000000000091e+03
5.841300000000000182e+03 5.841300000000000182e+03
4.437300000000000182e+03 4.437300000000000182e+03
6.832300000000000182e+03 6.832300000000000182e+03
3.270800000000000182e+03 3.270800000000000182e+03
5.246199999999999818e+03 5.246199999999999818e+03
3.686099999999999909e+03 3.686099999999999909e+03
4.689399999999999636e+03 4.689399999999999636e+03
4.312699999999999818e+03 4.312699999999999818e+03
4.491100000000000364e+03 4.491100000000000364e+03
4.442300000000000182e+03 4.442300000000000182e+03
3.329199999999999818e+03 3.329199999999999818e+03
4.661399999999999636e+03 4.661399999999999636e+03
5.640800000000000182e+03 5.640800000000000182e+03
5.424800000000000182e+03 5.424800000000000182e+03
5.722500000000000000e+03 5.722500000000000000e+03
4.032900000000000091e+03 4.032900000000000091e+03
4.541600000000000364e+03 4.541600000000000364e+03
5.972500000000000000e+03 5.972500000000000000e+03
4.245300000000000182e+03 4.245300000000000182e+03
5.214800000000000182e+03 5.214800000000000182e+03
5.239000000000000000e+03 5.239000000000000000e+03
4.710500000000000000e+03 4.710500000000000000e+03
4.447300000000000182e+03 4.447300000000000182e+03
3.344400000000000091e+03 3.344400000000000091e+03
3.239500000000000000e+03 3.239500000000000000e+03
3.250099999999999909e+03 3.250099999999999909e+03
3.463800000000000182e+03 3.463800000000000182e+03
4.873100000000000364e+03 4.873100000000000364e+03
3.571400000000000091e+03 3.571400000000000091e+03
5.820500000000000000e+03 5.820500000000000000e+03
3.573300000000000182e+03 3.573300000000000182e+03
5.160600000000000364e+03 5.160600000000000364e+03
3.476800000000000182e+03 3.476800000000000182e+03
5.799699999999999818e+03 5.799699999999999818e+03
4.866399999999999636e+03 4.866399999999999636e+03
3.482400000000000091e+03 3.482400000000000091e+03
5.404699999999999818e+03 5.404699999999999818e+03
4.001199999999999818e+03 4.001199999999999818e+03
3.324800000000000182e+03 3.324800000000000182e+03
4.313100000000000364e+03 4.313100000000000364e+03
5.568699999999999818e+03 5.568699999999999818e+03
3.477500000000000000e+03 3.477500000000000000e+03
5.380100000000000364e+03 5.380100000000000364e+03
3.256599999999999909e+03 3.256599999999999909e+03
5.647399999999999636e+03 5.647399999999999636e+03
3.478199999999999818e+03 3.478199999999999818e+03
3.288599999999999909e+03 3.288599999999999909e+03
5.968300000000000182e+03 5.968300000000000182e+03
4.241300000000000182e+03 4.241300000000000182e+03
5.189699999999999818e+03 5.189699999999999818e+03
4.612500000000000000e+03 4.612500000000000000e+03
5.020899999999999636e+03 5.020899999999999636e+03
3.365000000000000000e+03 3.365000000000000000e+03
5.066399999999999636e+03 5.066399999999999636e+03
3.443400000000000091e+03 3.443400000000000091e+03
5.367300000000000182e+03 5.367300000000000182e+03
5.389399999999999636e+03 5.389399999999999636e+03
4.203600000000000364e+03 4.203600000000000364e+03
5.711399999999999636e+03 5.711399999999999636e+03
4.384399999999999636e+03 4.384399999999999636e+03
3.001300000000000182e+03 3.001300000000000182e+03
3.470900000000000091e+03 3.470900000000000091e+03
3.695000000000000000e+03 3.695000000000000000e+03
5.921500000000000000e+03 5.921500000000000000e+03
3.794199999999999818e+03 3.794199999999999818e+03
4.242199999999999818e+03 4.242199999999999818e+03
3.376500000000000000e+03 3.376500000000000000e+03
3.171699999999999818e+03 3.171699999999999818e+03
3.382699999999999818e+03 3.382699999999999818e+03
4.277100000000000364e+03 4.277100000000000364e+03
5.406000000000000000e+03 5.406000000000000000e+03
3.542099999999999909e+03 3.542099999999999909e+03
5.394199999999999818e+03 5.394199999999999818e+03
3.838199999999999818e+03 3.838199999999999818e+03
4.397000000000000000e+03 4.397000000000000000e+03
3.607500000000000000e+03 3.607500000000000000e+03
4.619500000000000000e+03 4.619500000000000000e+03
3.556900000000000091e+03 3.556900000000000091e+03
4.866399999999999636e+03 4.866399999999999636e+03
4.814899999999999636e+03 4.814899999999999636e+03
5.962699999999999818e+03 5.962699999999999818e+03
5.929500000000000000e+03 5.929500000000000000e+03
4.999899999999999636e+03 4.999899999999999636e+03
3.997000000000000000e+03 3.997000000000000000e+03
4.684100000000000364e+03 4.684100000000000364e+03
5.260399999999999636e+03 5.260399999999999636e+03
4.172399999999999636e+03 4.172399999999999636e+03
4.080199999999999818e+03 4.080199999999999818e+03
3.900199999999999818e+03 3.900199999999999818e+03
5.753899999999999636e+03 5.753899999999999636e+03
4.611699999999999818e+03 4.611699999999999818e+03
5.460500000000000000e+03 5.460500000000000000e+03
5.718100000000000364e+03 5.718100000000000364e+03
5.117300000000000182e+03 5.117300000000000182e+03
4.342699999999999818e+03 4.342699999999999818e+03
4.511100000000000364e+03 4.511100000000000364e+03
4.165199999999999818e+03 4.165199999999999818e+03
4.888399999999999636e+03 4.888399999999999636e+03
3.512000000000000000e+03 3.512000000000000000e+03
4.463800000000000182e+03 4.463800000000000182e+03
4.783300000000000182e+03 4.783300000000000182e+03
4.203699999999999818e+03 4.203699999999999818e+03
4.911100000000000364e+03 4.911100000000000364e+03
5.506800000000000182e+03 5.506800000000000182e+03
5.870100000000000364e+03 5.870100000000000364e+03
3.731000000000000000e+03 3.731000000000000000e+03
3.557000000000000000e+03 3.557000000000000000e+03
4.133100000000000364e+03 4.133100000000000364e+03
5.364600000000000364e+03 5.364600000000000364e+03
3.823800000000000182e+03 3.823800000000000182e+03
6.314300000000000182e+03 6.314300000000000182e+03
3.586300000000000182e+03 3.586300000000000182e+03
3.685900000000000091e+03 3.685900000000000091e+03
4.758100000000000364e+03 4.758100000000000364e+03
3.593099999999999909e+03 3.593099999999999909e+03
4.596199999999999818e+03 4.596199999999999818e+03
5.265000000000000000e+03 5.265000000000000000e+03
4.576699999999999818e+03 4.576699999999999818e+03
3.654599999999999909e+03 3.654599999999999909e+03
4.551399999999999636e+03 4.551399999999999636e+03
4.632000000000000000e+03 4.632000000000000000e+03
4.696899999999999636e+03 4.696899999999999636e+03
3.619500000000000000e+03 3.619500000000000000e+03
6.105199999999999818e+03 6.105199999999999818e+03
5.423100000000000364e+03 5.423100000000000364e+03
3.804599999999999909e+03 3.804599999999999909e+03
3.490900000000000091e+03 3.490900000000000091e+03
4.666500000000000000e+03 4.666500000000000000e+03
3.467099999999999909e+03 3.467099999999999909e+03
4.635500000000000000e+03 4.635500000000000000e+03
3.567500000000000000e+03 3.567500000000000000e+03
3.695199999999999818e+03 3.695199999999999818e+03
3.810500000000000000e+03 3.810500000000000000e+03
5.528399999999999636e+03 5.528399999999999636e+03
4.490100000000000364e+03 4.490100000000000364e+03
5.229100000000000364e+03 5.229100000000000364e+03
3.838699999999999818e+03 3.838699999999999818e+03
4.363100000000000364e+03 4.363100000000000364e+03
3.976900000000000091e+03 3.976900000000000091e+03
